sondaje_sk,sondaje_cd,contrato_sk,sondaje_padre_sk,profundidad_programada_m,linea_programada,inclinacion_grados,tipo_taladro
106,UDH-3806–2026,4,-1,200.0,BQ,-9.0,ORIGINAL
107,UDH-3808–2026,4,-1,215.0,BQ,-15.0,ORIGINAL
108,UDH-3809–2026,4,-1,120.0,NQ,12.0,ORIGINAL
109,UDH-3810–2026,4,-1,170.0,NQ,64.0,ORIGINAL
110,UDH-3811–2026,4,-1,90.0,BQ,-90.0,ORIGINAL
111,UDH-3812–2026,4,-1,160.0,BQ,-90.0,ORIGINAL
112,UDH-3813-2026,4,-1,60.0,BQ,-40.0,ORIGINAL
113,UDH-3814–2026,4,-1,300.0,HQ,-90.0,ORIGINAL
114,UDH-3815–2026,4,-1,170.0,NQ,54.0,ORIGINAL
115,UDH113610,10,-1,320.0,HQ,-45.0,ORIGINAL
116,UDH13647,10,-1,170.0,BQ,16.0,ORIGINAL
117,UDH13654,10,-1,450.0,HQ,-38.0,ORIGINAL
118,UDH13656,10,-1,175.0,BQ,16.0,ORIGINAL
119,YYUD26099,20,-1,250.0,BQ,14.5,ORIGINAL
120,YYUD26100,20,-1,150.0,BQ,-20.0,ORIGINAL
